iter	Passed	Remaining
0	23	11479
1	29	7326
2	36	6025
3	42	5220
4	48	4774
5	54	4465
6	59	4205
7	65	3998
8	71	3891
9	77	3817
10	83	3732
11	89	3631
12	94	3545
13	100	3472
14	105	3412
15	110	3355
16	116	3305
17	121	3262
18	127	3216
19	132	3179
20	137	3145
21	143	3118
22	148	3086
23	154	3056
24	159	3026
25	164	3001
26	169	2974
27	175	2956
28	180	2937
29	186	2915
30	191	2900
31	196	2880
32	202	2861
33	207	2844
34	212	2828
35	218	2810
36	223	2795
37	228	2779
38	234	2766
39	239	2754
40	244	2742
41	250	2728
42	255	2715
43	260	2702
44	266	2692
45	271	2680
46	277	2672
47	282	2662
48	288	2651
49	293	2640
50	298	2631
51	304	2619
52	309	2609
53	314	2601
54	320	2592
55	325	2583
56	331	2573
57	338	2577
58	344	2573
59	349	2565
60	355	2554
61	360	2547
62	365	2536
63	371	2528
64	376	2519
65	381	2511
66	387	2502
67	392	2493
68	398	2489
69	404	2483
70	409	2475
71	414	2466
72	420	2458
73	425	2450
74	431	2442
75	436	2434
76	441	2425
77	446	2418
78	452	2410
79	457	2403
80	463	2396
81	468	2389
82	474	2381
83	479	2373
84	484	2366
85	490	2360
86	495	2354
87	501	2345
88	506	2338
89	511	2330
90	517	2324
91	522	2317
92	527	2310
93	533	2303
94	538	2295
95	544	2290
96	550	2285
97	555	2278
98	560	2270
99	566	2265
100	571	2258
101	577	2252
102	582	2246
103	588	2240
104	593	2234
105	599	2227
106	604	2220
107	610	2214
108	615	2206
109	622	2205
110	627	2199
111	633	2194
112	639	2188
113	644	2183
114	650	2176
115	655	2169
116	660	2162
117	666	2156
118	671	2150
119	677	2144
120	682	2138
121	688	2132
122	693	2125
123	698	2118
124	703	2111
125	709	2104
126	714	2098
127	719	2091
128	724	2084
129	730	2078
130	735	2071
131	740	2064
132	746	2058
133	751	2052
134	756	2045
135	761	2039
136	767	2033
137	772	2027
138	778	2021
139	783	2015
140	788	2008
141	794	2002
142	799	1996
143	804	1989
144	810	1984
145	816	1978
146	821	1972
147	826	1965
148	832	1960
149	837	1954
150	843	1948
151	848	1942
152	853	1936
153	859	1930
154	864	1924
155	869	1917
156	874	1911
157	880	1905
158	885	1898
159	890	1893
160	896	1886
161	901	1880
162	906	1873
163	911	1867
164	916	1861
165	922	1855
166	927	1849
167	932	1843
168	938	1837
169	944	1833
170	949	1827
171	955	1821
172	960	1815
173	966	1809
174	971	1804
175	976	1797
176	982	1792
177	987	1786
178	992	1780
179	998	1774
180	1003	1768
181	1008	1762
182	1013	1756
183	1018	1749
184	1024	1744
185	1029	1738
186	1035	1732
187	1040	1727
188	1046	1721
189	1052	1716
190	1057	1710
191	1062	1704
192	1067	1698
193	1072	1692
194	1078	1686
195	1084	1681
196	1089	1675
197	1094	1669
198	1100	1663
199	1105	1657
200	1110	1652
201	1115	1646
202	1121	1640
203	1126	1634
204	1131	1628
205	1136	1622
206	1141	1616
207	1147	1610
208	1152	1604
209	1157	1598
210	1162	1592
211	1168	1586
212	1173	1581
213	1178	1575
214	1183	1569
215	1189	1563
216	1194	1557
217	1200	1552
218	1205	1546
219	1210	1540
220	1215	1535
221	1221	1529
222	1226	1523
223	1231	1517
224	1237	1512
225	1242	1506
226	1247	1500
227	1252	1494
228	1258	1488
229	1263	1483
230	1268	1477
231	1274	1472
232	1279	1466
233	1285	1460
234	1290	1455
235	1295	1449
236	1301	1443
237	1306	1438
238	1312	1433
239	1318	1427
240	1323	1422
241	1328	1416
242	1333	1410
243	1339	1405
244	1344	1399
245	1349	1393
246	1354	1387
247	1360	1382
248	1365	1376
249	1371	1371
250	1376	1365
251	1381	1359
252	1386	1354
253	1392	1348
254	1397	1342
255	1402	1337
256	1408	1331
257	1413	1325
258	1418	1319
259	1424	1314
260	1429	1309
261	1435	1303
262	1440	1298
263	1445	1292
264	1451	1286
265	1456	1281
266	1461	1275
267	1466	1269
268	1472	1264
269	1477	1258
270	1483	1253
271	1488	1247
272	1493	1241
273	1499	1236
